Name,Rating,Date,flat_reviews
,4.5,Sep 27 2016,",liked,first,episode,really,good,scenes,scenario,also,"
,3.0,Sep 26 2016,",foxs,new,,series,,exorcise,really,,terrifying,quick,review,,,new,exorcise,,series,,,trend,,,make,many,old,moves,,television,series,,,,devilish,good,,others,,,hellish,bad,honestly,,thought,,new,exorcise,television,show,,fox,would,,dreadful,,figured,,would,,,,watered,,version,,,1973,original,would,,predictable,,,easy,way,,pop,,rating,,,network,,,going,,,horrifically,terrible,,,,Have,A,Vice,May,,show,,,pleasant,surprise,,scars,tension,,overall,,,bad,,,first,episode,,first,episode,,well,acted,,build,,,,disturbing,scenes,,stars,allons,hearers,,,chicago,priest,,,,parishioner,played,,,davis,,believes,,daughter,may,,possessed,,,dramatic,pause,evil,spirit,like,,didnt,see,,coming,also,,come,across,another,priest,played,,ben,daniel,,happens,,,performing,,exorcise,,,young,boy,,show,,,really,creep,visual,images,,instance,,scraggy,sweat,grey,Have,A,Vice,May,darting,,,darkness,,catch,,rat,,crow,scattering,glass,,,lighting,,overall,look,stays,true,,,original,film,,stays,true,,,original,source,material,yet,offers,,new,intelligent,fresh,ideas,,scars,,,real,complaint,,,,points,,show,drags,,,believe,,,tell,,davis,,,strongest,actoractress,,,show,,,parts,,feel,,little,predictable,,,,seen,horror,films,,shows,like,,,,,,,final,within,buddha,thoughts,,foxs,first,episode,,,exorcise,,series,,,,show,,thought,,would,,enjoy,,,,Have,A,Vice,May,,may,stick,around,,see,,exactly,,series,,headed,,,good,scars,,visual,,believe,episode,one,,foxs,,exorcise,ears,,3,,,5,thank,,,reading,,,viewing,,,hope,,,,,amazing,day,,always"
,3.5,Sep 26 2016,",,great,story,,jump,scars,,,,original,still,,,quite,good,,might,get,better"
,4.5,Sep 26 2016,",like,,,going,acting,,good,situations,,realistic,given,,premise"
lee ann s,4.0,Sep 26 2016,",expect,much,,,,show,version,,,thought,,,fairly,decent"
,4.0,Sep 25 2016,"forget,,colonial,marines,exercises,,,definition,,badassest,military,corps"
,4.0,Sep 24 2016,",,final,moments,,,debut,episode,,,new,fox,series,,exorcise,mike,oldfields,classic,instrumental,tubular,bells,begins,,play,,,soundtrack,,musical,reference,,well,earned,,perfectly,situated,adding,gravity,,setting,,tone,,things,,come,though,,,play,host,,,jump,scars,,effective,,cheese,like,,classic,cinematic,counterpart,,exorcise,,,concerned,,atmosphere,,tension,,series,,less,interested,,pea,soup,,overall,special,effects,,effects,,top,notch,,admirably,retained,,,telling,,story,,,supernatural,begins,,intrude,,lives,,characters,,,well,sketched,,dialogue,,excellent,,,cast,superb,,grounded,,real,life,,,nods,,,original,,,startling,conclusion,already,lays,,groundwork,,,inclination,,tell,,,story,,review,,next,weeks,episode,indicates,,,two,attributes,,particularly,appreciated,,,pilot,,,,really,,creep,,,took,,intelligent,approach,,depicting,,struggles,people,experience,,believing,,god,,,day,,age,absolutely,unerring,moments,,,,shilling,scene,,,young,priest,father,thomas,receives,information,,,,find,,man,,,never,met,,,source,,,,business,,able,,provide,,balance,,thought,provoking,discussions,,characters,concerning,,,,,regards,,faith,,,,nods,,,source,,,gotten,,,,way,,hope,,series,continues,,carve,,,nice,,,canon,,,exorcise,,,stands,,,worthy,spiritual,continuation,,,themes,explored,,,original,,,new,story,,characters,opening,,door,,,,play,,,,larger,stage"
,5.0,Sep 23 2016,"fantastic,sequel,series,,loads,,potential,,acting,,especially,fantastic,,,typical,fox,show,,"
,1.0,Sep 23 2016,"dies,pursue,,est,,,vestas,costs,,se,,sacando,de,que,,vena,con,un,mirada,negative,sore,est,products,television,,sacando,el,lady,comparative,con,la,película,del,73,es,un,series,,comienzo,castanet,,,beside,el,upon,la,narrative,dear,much,que,dear,al,usual,las,actions,de,los,personages,done,se,contradict,contantemente,,,siquiera,se,piece,simpatizar,con,al,men,,,,se,,may,forbade,,los,effects,sonorous,porqueee,tiens,elements,clichés,del,terror,que,,,est,canada,de,ver,es,un,version,may,fibre,del,fibro,per,con,much,jump,scare,,chi,,neuro"
,3.0,Sep 23 2016,",,bad,,dont,think,,,watch,,,regular,basis"
,5.0,Sep 23 2016,",good,,scar,,exorcise,,actually,better,,,original"
,5.0,Sep 23 2016,",thought,,,awesome,looking,forward,,seeing,,,rest,,,season,goes"
,4.0,Sep 23 2016,",,fun,ride,,,know,,,expect,,,barren,wasteland,,remarked,,boots,,,,genuinely,gripped,interested,,see,,,goes"
,4.0,Sep 21 2016,",thoroughly,enjoyed,,original,film,,exorcise,,,,special,effects,,,barely,,,jumpscares,,,,scared,,hopefully,,,series,,live,,,,original"
,2.0,Sep 19 2016,"watched,one,episode,,scared,,watch,,rest,ha"
,3.0,Sep 16 2016,",exorcise,feels,like,its,attempting,,reach,,little,higher,,,contemporaries,certainly,,,anything,found,,network,television,,show,,feel,like,,may,,munching,,,weight,,its,equipped,,,,tools,,go,,distance,its,,welcome,addition,,,years,parade,,quality,horror,though,,,room,,improvement"
,3.0,Aug 28 2016,",hard,,recaptured,,original,horror,classic"
Shelly S,0.5,Sep 11 2024,",loved,,first,season,,series,2,seriously,,,six,months,,training,thomas,,allowed,,take,,lead,apparently,pleading,,,possessed,,stay,,,,,part,,,exorcise,ritual,,,scene,,,stolen,,bricks,,shining,,,actually,clutching,,sides,,laughter,,,end,good,,,laugh,,,,sure,,,,intended,,disappointing"
Lucas G,3.5,Aug 4 2024,"second,season,,,good,,,could,,,excellent,,,,darker,,curate,visual,style,,season,1,,,never,really,scar,,,,compelling,story,spoiled,alert,snapping,,creep,little,girl,,,totally,,scar,pretty,dead,wife,,incarnate,,demon,,,real,mistake,,,show,becomes,,bit,,,,,,,,climax,,,completely,notthreatening,also,,abuse,,visions,,dreams…,,,always,,,bad,idea,,,fattest,way,,disengaged,,,story,,problem,,,show,,,,never,unleashed,,true,horror,potential,,feels,,punish,,,sense,,feels,like,,lost,opportunity"
babarizam,3.0,Nov 15 2023,"show,,slow,,,feels,like,,,intentionally,making,,story,,long,,,started,,get,boring,,know,,,viewer,start,,skin,,scenes,,finish,,episode,,20,minutes,instead,,watching,full"
Gareth v,3.5,Jun 24 2023,"stray,slightly,,,made,,,movie,,first,season,,good,,,,,suffers,,insight,,,show,,,stuck,,,,limited,series"
farah r,5.0,Jun 26 2021,",,believe,,exorcise,,get,renewed,,,brilliant,season,like,,one,,topped,,first,one,,expanded,,,whole,,level,ben,daniel,,,insanely,great,actor,,,,,,chance,,continue,,,least,finish,marcus,story"
,5.0,Mar 9 2021,",,,world,would,,cancel,,show,like,,,,time,,finally,supernatural,series,,,,,fan,,ripe,,taking"
Luke S,3.0,Feb 2 2021,"starts,well,,degenerates,,utter,cap,,,shame,,maintained,,sort,,bagging,content,however,campridiculous,,,season,,truly,,death,knell,,,series,,,,wasted,opportunity"
,5.0,Jun 8 2020,",need,,rd,season"
Randall J,5.0,May 26 2020,",recently,discovered,,show,,hull,,,,disappointed,,,wont,get,,season,3"
,5.0,Mar 6 2020,",,finished,,season,2,,netflix,,,discovered,,show,,,canceled,,,,,show,,would,,thought,,would,enjoy,although,,story,lines,,,acting,captured,,right,,,first,episode,,season,one,,,,,,horror,show,,,challenges,,beliefs,exposes,,weaknesses,,allows,us,,discover,,strength,,,hopeful,someone,,picked,,show,,,,interested,,,future,growth,,,characters,,new,people,,meet,along,,journey"
,5.0,Feb 11 2020,",far,,favorite,show,,give,ever,watched,season,2,steps,,,ante,,,supernatural,tillers,,,made,,,,disappointing,,know,,,,new,season,,production,due,,fox,cancellation,,dont,let,,stop,,,enjoying,one,,,best,,shows,,,ever,tired,,television,bravo,,,writers,production,team,,cast"
,4.5,Sep 30 2019,",waiting,,temper,3,"
,5.0,Nov 30 2018,"great,show,interesting,story,,amazing,characters,development,love,,show,highly,recommend"
,4.5,Oct 9 2018,"fantastic,show,,,respects,,bad,,idiot,,fox,,,cancel,"
daniel k,5.0,Sep 27 2018,",far,,best,horror,,series,,,,,,canceled,still,definitely,worth,,watch"
,5.0,Sep 9 2018,",really,love,,,show,,unfortunately,fox,,want,,make,,new,season"
,5.0,Jul 18 2018,",upset,,show,,canceled,truly,scar"
,3.5,May 25 2018,"except,,,first,2,episodes,,,,good,job,blending,,2,storylines,,,,another,welldone,season,,bad,,wont,,back,,"
,5.0,Jan 18 2018,"great,plot,,great,acting,,love,,multicultural,,show,,,well,,look,forward,,seeing,3"
,5.0,Jan 4 2018,"better,,season,1,,viewer,really,becomes,invested,,,characters,thanks,,great,acting,,,tense,plot"
,5.0,Dec 31 2017,"fantastic,engaging,,incredibly,acted,,shows,,,,claim,,levels,,diversity,,,show,,,,diversity,,,exorcise,,also,,,compelling,plot,,keeps,,,,edge,,,seat,,season,,filled,,heart,,definitely,made,,cry,,couple,times,characters,,fully,flushed,,,realized,individuals,,make,,want,,spend,,time,,,,get,,know,,hopefully,fox,,allow,us,,follow,marcus,,thomas,,another,season,,least"
,5.0,Dec 19 2017,"loving,season,2,amazing,story,line,,effects"
,5.0,Dec 17 2017,"great,series,well,done"
,5.0,Dec 17 2017,",,former,catholic,priest,,,protestant,minister,,,,say,holy,vilas,,holy,water,batman,,,incredible,love,,show,,want,,see,,season,three,incredibly,written,acted,1010"
,5.0,Dec 16 2017,"best,,series,everrrrr"
,5.0,Dec 16 2017,",best,intense,show,,,,hope,fox,,hold,,,,one,,must,,,season,3,,beyond,please,dont,let,,go,jena,davis,,,jena,davis,although,,love,,"
,2.5,Dec 16 2017,"love,,show,,,,well,done,,keeps,,,,toes,,,great,storylines,,hope,,gets,renewed,,season,3"
,5.0,Dec 16 2017,"best,season,yet,lets,hope,,,season,3"
,5.0,Dec 15 2017,"fantastic,season,closure,,,outstanding,series,,exorcise,,,far,,best,series,,fox,unfortunately,,rating,,,worst,,,need,,third,season"
,5.0,Dec 15 2017,"amazing,excellent,show,season,3,come,,,,ready,marcus,,thomas,lets,go,directors,fight,fight,fight,work,hard,play,hard,money,money,woowowowowoow,number,1,fanny"
,5.0,Dec 15 2017,",bad,,delegated,,,friday,nights,terrific,horror,wish,,fan,knew,,"
,3.5,Dec 5 2017,",scar,,,fun,season,nonetheless,,,completely,different,storyline,,setting,,season,2,compared,,season,1,,acting,,good,,makes,,show,authentic,could,use,,,,scars,,,,shilling,atmosphere"
,5.0,Dec 2 2017,",show,gets,,,pins,,needles,,watching,every,episode,,,,thought,,,,coming,next,figured,,,,show,gives,,something,unexpected,,better,,,,cast,,really,good,,pprtraying,,character,,immersed,,,emotions,,series,,,like,,,episode,,better,,,last,one,,,always,,awesome,two,thumbs,,definitely,,best,series,give,seen"
,5.0,Nov 24 2017,",version,,,exorcise,,great,season,1,,good,,,,season,,even,better,great,actors,,writers,,,,,scar,,thrilled,moves,,,donna,love,,show"
,5.0,Nov 14 2017,",loved,,first,season,,,,happy,,,going,,,,second,season,,far,,second,season,exceeds,,expectations,,love,"
,5.0,Nov 13 2017,"john,,,fantastic,,"
,5.0,Nov 4 2017,"season,2,,taken,,series,,another,level,,love,,way,,stitched,,lives,,andy,,,kiss,,,lives,,marcus,,thomas,,would,,interesting,,see,,,bring,bent,,,,exorcise,,chicago,brilliant,narration,,amazing,execution,buds,,,team"
,5.0,Nov 4 2017,"great,story,,scar,one,,,favorite,shows,,,,,dont,like,horror,moves"
,5.0,Nov 3 2017,"season,1,,surprisingly,good,well,written,,acted,,still,owed,,much,,,source,material,movie,,book,,,valued,,,luckily,season,2,,following,,,path,,,much,better,,story,,well,paced,,characters,,matter,,one,feels,bad,thinking,,maybe,,wont,,,third,season,,show,deserves,better,rating"
,5.0,Oct 13 2017,",,underrated,show,,,,hard,,convince,people,,watch,,,,,,,misconception,,,,monsteroftheweek,procedure,sorry,grim,fan,,,show,,,collection,,expected,story,beats,,terrible,ff"
